,index,FECHA_RESULTADO
0,2020-03-06,1
1,2020-03-07,5
2,2020-03-08,2
3,2020-03-09,3
4,2020-03-10,1
5,2020-03-11,8
6,2020-03-12,8
7,2020-03-13,10
8,2020-03-14,19
9,2020-03-15,28
10,2020-03-16,20
11,2020-03-17,27
12,2020-03-18,56
13,2020-03-19,62
14,2020-03-20,56
15,2020-03-21,30
16,2020-03-22,39
17,2020-03-23,33
18,2020-03-24,64
19,2020-03-25,100
20,2020-03-26,52
21,2020-03-27,34
22,2020-03-28,136
23,2020-03-29,143
24,2020-03-30,130
25,2020-03-31,250
26,2020-04-01,118
27,2020-04-02,222
28,2020-04-03,293
29,2020-04-04,837
30,2020-04-05,445
31,2020-04-06,653
32,2020-04-07,1044
33,2020-04-08,1085
34,2020-04-09,820
35,2020-04-10,1041
36,2020-04-11,1408
37,2020-04-12,745
38,2020-04-13,1297
39,2020-04-14,1057
40,2020-04-15,1403
41,2020-04-16,1343
42,2020-04-17,1129
43,2020-04-18,1427
44,2020-04-19,1095
45,2020-04-20,2060
46,2020-04-21,2195
47,2020-04-22,2126
48,2020-04-23,2081
49,2020-04-24,2269
50,2020-04-25,2416
51,2020-04-26,1439
52,2020-04-27,3427
53,2020-04-28,3402
54,2020-04-29,4245
55,2020-04-30,3376
56,2020-05-01,2641
57,2020-05-02,3378
58,2020-05-03,1923
59,2020-05-04,3998
60,2020-05-05,3994
61,2020-05-06,3673
62,2020-05-07,3618
63,2020-05-08,3301
64,2020-05-09,2479
65,2020-05-10,938
66,2020-05-11,3607
67,2020-05-12,4351
68,2020-05-13,4450
69,2020-05-14,3741
70,2020-05-15,4326
71,2020-05-16,4134
72,2020-05-17,1789
73,2020-05-18,5136
74,2020-05-19,5208
75,2020-05-20,5307
76,2020-05-21,5535
77,2020-05-22,6123
78,2020-05-23,5418
79,2020-05-24,1795
80,2020-05-25,7002
81,2020-05-26,7010
82,2020-05-27,7391
83,2020-05-28,6475
84,2020-05-29,5774
85,2020-05-30,4690
86,2020-05-31,2290
87,2020-06-01,4336
88,2020-06-02,3865
89,2020-06-03,2672
90,2020-06-04,4126
91,2020-06-05,5077
92,2020-06-06,4820
93,2020-06-07,2652
94,2020-06-08,4812
95,2020-06-09,5414
96,2020-06-10,5804
97,2020-06-11,7407
98,2020-06-12,5670
99,2020-06-13,4543
100,2020-06-14,2460
101,2020-06-15,4467
102,2020-06-16,3485
103,2020-06-17,4052
104,2020-06-18,3549
105,2020-06-19,3638
106,2020-06-20,3626
107,2020-06-21,1477
108,2020-06-22,4474
109,2020-06-23,3879
110,2020-06-24,4245
111,2020-06-25,4321
112,2020-06-26,4525
113,2020-06-27,3677
114,2020-06-28,1636
115,2020-06-29,2810
116,2020-06-30,3991
117,2020-07-01,3847
118,2020-07-02,3602
119,2020-07-03,4113
120,2020-07-04,3655
121,2020-07-05,2368
122,2020-07-06,3951
123,2020-07-07,4295
124,2020-07-08,2813
125,2020-07-09,2698
126,2020-07-10,5167
127,2020-07-11,4437
128,2020-07-12,2454
129,2020-07-13,3321
130,2020-07-14,4441
131,2020-07-15,4654
132,2020-07-16,4766
133,2020-07-17,5425
134,2020-07-18,5336
135,2020-07-19,2422
136,2020-07-20,4276
137,2020-07-21,5310
138,2020-07-22,6327
139,2020-07-23,5869
140,2020-07-24,6256
141,2020-07-25,5873
142,2020-07-26,3072
143,2020-07-27,7384
144,2020-07-28,3165
145,2020-07-29,6914
146,2020-07-30,7637
147,2020-07-31,8077
148,2020-08-01,7141
149,2020-08-02,3387
150,2020-08-03,8260
151,2020-08-04,8167
152,2020-08-05,7922
153,2020-08-06,9103
154,2020-08-07,7983
155,2020-08-08,7181
156,2020-08-09,3746
157,2020-08-10,8601
158,2020-08-11,9383
159,2020-08-12,9760
160,2020-08-13,9628
161,2020-08-14,10477
162,2020-08-15,9462
163,2020-08-16,3871
164,2020-08-17,9723
165,2020-08-18,9374
166,2020-08-19,9802
167,2020-08-20,10503
168,2020-08-21,8968
169,2020-08-22,7685
170,2020-08-23,2018
171,2020-08-24,8679
172,2020-08-25,11167
173,2020-08-26,8585
174,2020-08-27,8035
175,2020-08-28,9187
176,2020-08-29,6512
177,2020-08-30,2364
178,2020-08-31,6498
179,2020-09-01,6407
180,2020-09-02,6508
181,2020-09-03,3792
182,2020-09-04,10106
183,2020-09-05,4060
184,2020-09-06,1882
185,2020-09-07,6378
186,2020-09-08,6859
187,2020-09-09,6551
188,2020-09-10,3992
189,2020-09-11,10809
190,2020-09-12,5791
191,2020-09-13,2029
192,2020-09-14,6102
193,2020-09-15,5596
194,2020-09-16,5694
195,2020-09-17,6585
196,2020-09-18,6407
197,2020-09-19,5414
198,2020-09-20,1752
199,2020-09-21,5234
200,2020-09-22,6238
201,2020-09-23,6027
202,2020-09-24,5889
203,2020-09-25,5751
204,2020-09-26,4941
205,2020-09-27,1925
206,2020-09-28,2439
207,2020-09-29,2914
208,2020-09-30,3072
209,2020-10-01,2805
210,2020-10-02,3263
211,2020-10-03,2501
212,2020-10-04,1234
213,2020-10-05,2606
214,2020-10-06,2823
215,2020-10-07,3094
216,2020-10-08,3247
217,2020-10-09,3646
218,2020-10-10,2551
219,2020-10-11,1372
220,2020-10-12,3303
221,2020-10-13,3777
222,2020-10-14,3109
223,2020-10-15,3002
224,2020-10-16,3790
225,2020-10-17,2372
226,2020-10-18,1247
227,2020-10-19,2807
228,2020-10-20,3035
229,2020-10-21,3139
230,2020-10-22,2701
231,2020-10-23,2784
232,2020-10-24,2088
233,2020-10-25,972
234,2020-10-26,2391
235,2020-10-27,2526
236,2020-10-28,2095
237,2020-10-29,2445
238,2020-10-30,2369
239,2020-10-31,2159
240,2020-11-01,893
241,2020-11-02,2033
242,2020-11-03,2269
243,2020-11-04,2329
244,2020-11-05,2074
245,2020-11-07,1605
246,2020-11-08,989
247,2020-11-09,2032
248,2020-11-10,2032
249,2020-11-11,1910
250,2020-11-12,1951
251,2020-11-13,2146
252,2020-11-14,1420
253,2020-11-15,889
254,2020-11-16,1648
255,2020-11-17,1902
256,2020-11-18,1591
257,2020-11-19,1925
258,2020-11-20,1859
259,2020-11-21,1355
260,2020-11-22,776
261,2020-11-23,1560
262,2020-11-24,1650
263,2020-11-25,1684
264,2020-11-26,1666
265,2020-11-27,2153
266,2020-11-28,1197
267,2020-11-29,1002
268,2020-11-30,1677
269,2020-12-01,1613
270,2020-12-02,1524
271,2020-12-03,1678
272,2020-12-04,1512
273,2020-12-05,1310
274,2020-12-07,1493
275,2020-12-08,820
276,2020-12-09,1821
277,2020-12-10,1651
278,2020-12-11,1883
279,2020-12-12,1527
280,2020-12-13,1089
281,2020-12-14,1632
282,2020-12-15,1841
283,2020-12-16,1891
284,2020-12-17,1930
285,2020-12-18,1785
286,2020-12-19,1368
287,2020-12-20,961
288,2020-12-21,1869
289,2020-12-22,1744
290,2020-12-23,1589
291,2020-12-24,1269
292,2020-12-25,887
293,2020-12-26,1412
294,2020-12-27,1232
295,2020-12-28,1850
296,2020-12-29,2060
297,2020-12-30,2868
298,2020-12-31,1574
299,2021-01-01,725
300,2021-01-02,1661
301,2021-01-03,1658
302,2021-01-04,1580
303,2021-01-05,2638
304,2021-01-06,2996
305,2021-01-07,3432
306,2021-01-08,4170
307,2021-01-09,2804
308,2021-01-10,2256
309,2021-01-11,3183
310,2021-01-12,5030
311,2021-01-13,4737
312,2021-01-14,4018
313,2021-01-15,5022
314,2021-01-16,4474
315,2021-01-17,4088
316,2021-01-18,5357
317,2021-01-19,5487
318,2021-01-20,4809
319,2021-01-21,5742
320,2021-01-22,6254
321,2021-01-23,6299
322,2021-01-24,2453
323,2021-01-25,6880
324,2021-01-26,6401
325,2021-01-27,5931
326,2021-01-28,6868
327,2021-01-29,6755
328,2021-01-30,5779
329,2021-01-31,3696
330,2021-02-01,8513
331,2021-02-02,8563
332,2021-02-03,7625
333,2021-02-04,8435
334,2021-02-05,8585
335,2021-02-06,7048
336,2021-02-07,4333
337,2021-02-08,8035
338,2021-02-09,7913
339,2021-02-10,7978
340,2021-02-11,8016
341,2021-02-12,6902
342,2021-02-13,7074
343,2021-02-14,2586
344,2021-02-15,7687
345,2021-02-16,8028
346,2021-02-17,8405
347,2021-02-18,7145
348,2021-02-19,6678
349,2021-02-20,6373
350,2021-02-21,3007
351,2021-02-22,7574
352,2021-02-23,7231
353,2021-02-24,7733
354,2021-02-25,7563
355,2021-02-26,7833
356,2021-02-27,5829
357,2021-02-28,2657
358,2021-03-01,7243
359,2021-03-02,6853
360,2021-03-03,6860
361,2021-03-04,6685
362,2021-03-05,7268
363,2021-03-06,6543
364,2021-03-07,2691
365,2021-03-08,7638
366,2021-03-09,7326
367,2021-03-10,7340
368,2021-03-11,7550
369,2021-03-12,6531
370,2021-03-13,4996
371,2021-03-14,3653
372,2021-03-15,9372
373,2021-03-16,7700
374,2021-03-17,7624
375,2021-03-18,8085
376,2021-03-19,9060
377,2021-03-20,7374
378,2021-03-21,4282
379,2021-03-22,12078
380,2021-03-23,9301
381,2021-03-24,9573
382,2021-03-25,8609
383,2021-03-26,8392
384,2021-03-27,8484
385,2021-03-28,3309
386,2021-03-29,10095
387,2021-03-30,10392
388,2021-03-31,10539
389,2021-04-01,7639
390,2021-04-02,5632
391,2021-04-03,9731
392,2021-04-04,5992
393,2021-04-05,12472
394,2021-04-06,9722
395,2021-04-07,9919
396,2021-04-08,10997
397,2021-04-09,9360
398,2021-04-10,8113
399,2021-04-11,2814
400,2021-04-12,9455
401,2021-04-13,9135
402,2021-04-14,8920
403,2021-04-15,9077
404,2021-04-16,10324
405,2021-04-17,7693
406,2021-04-18,2916
407,2021-04-19,8869
408,2021-04-20,7439
409,2021-04-21,8232
410,2021-04-22,8881
411,2021-04-23,8756
412,2021-04-24,7369
413,2021-04-25,3762
